uuid,name,description,class,shortname,datatype,units,High Normal,Low Normal,Allow Decimal,locale,synonym.1,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6,answer.7,answer.8,answer.9,answer.10,answer.11,answer.12,reference-term-source,reference-term-code,reference-term-relationship
05fdfa12-a4bc-11e6-adad-083e8ecc6d28,Regularity of using compression bandages,,Misc,,Coded,,,,,,,Regular,Irregular,Not at all,,,,,,,,,,,,
05fdfa13-a4bc-11e6-aa80-083e8ecc6d28,Day time,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,
05fdfa14-a4bc-11e6-a61d-083e8ecc6d28,Night Time,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,
05fdfa15-a4bc-11e6-86d3-083e8ecc6d28,When do you use compression bandages,,Misc,,Coded,,,,,,,Day time,Night Time,Not at all,,,,,,,,,,,,
05fdfa16-a4bc-11e6-9de5-083e8ecc6d28,Use stockings only / compression bandages,,Misc,,Boolean,,,,,,,,,,,,,,,,,,,,,
05fe203a-a4bc-11e6-a12e-083e8ecc6d28,Weekly,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,
05fe203b-a4bc-11e6-8ae9-083e8ecc6d28,Monthly,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,
05fe203c-a4bc-11e6-ae22-083e8ecc6d28,Frequency of purchasing new compression material,,Misc,,Coded,,,,,,,Weekly,Monthly,Not at all,,,,,,,,,,,,
05fe203d-a4bc-11e6-9abf-083e8ecc6d28,Location of last treatment and particulars,,Misc,,Text,,,,,,,,,,,,,,,,,,,,,
05fe4668-a4bc-11e6-8d85-083e8ecc6d28,Drugs and Dosage,,Misc,,Text,,,,,,,,,,,,,,,,,,,,,
05fe4669-a4bc-11e6-9f79-083e8ecc6d28,Year,,Misc,,Text,,,,,,,,,,,,,,,,,,,,,
05fe466a-a4bc-11e6-ae3c-083e8ecc6d28,Name and address of institution,,Misc,,Text,,,,,,,,,,,,,,,,,,,,,
05fe466b-a4bc-11e6-b401-083e8ecc6d28,Nature of treatment,,Misc,,Text,,,,,,,,,,,,,,,,,,,,,
05fe466c-a4bc-11e6-b128-083e8ecc6d28,Ineffective,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,
05fe6ca2-a4bc-11e6-b959-083e8ecc6d28,Minimal,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,
05fe6ca3-a4bc-11e6-9fb1-083e8ecc6d28,Success Rate,,Misc,,Coded,,,,,,,Ineffective,Minimal,Moderate,High,,,,,,,,,,,
05fe6ca4-a4bc-11e6-9e49-083e8ecc6d28,Any other relevant information,,Misc,,Text,,,,,,,,,,,,,,,,,,,,,
05fe92d4-a4bc-11e6-97bd-083e8ecc6d28,For Filariasis,,Misc,,Boolean,,,,,,,,,,,,,,,,,,,,,
05fe92d5-a4bc-11e6-915c-083e8ecc6d28,For other complaints,,Misc,,Text,,,,,,,,,,,,,,,,,,,,,
05fe92d6-a4bc-11e6-9cf1-083e8ecc6d28,Cardiac Disease,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,
05fe92d7-a4bc-11e6-aa9d-083e8ecc6d28,Renal Problem,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,
05feb8fe-a4bc-11e6-80a5-083e8ecc6d28,Orthopaedic,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,
05feb8ff-a4bc-11e6-b92b-083e8ecc6d28,Any other relevant complaints,,Misc,,Coded,,,,,,,Diabetes,Hypertension,Cardiac Disease,Liver Disease,Renal Problem,Orthopaedic,,,,,,,,,
05feb900-a4bc-11e6-8ba1-083e8ecc6d28,"Others, explain",,Misc,,Text,,,,,,,,,,,,,,,,,,,,,
05feccc2-a4bc-11e6-887a-083e8ecc6d28,Engorged Veins,,Misc,,Boolean,,,,,,,,,,,,,,,,,,,,,
05feccc3-a4bc-11e6-b5e7-083e8ecc6d28,Right,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,
05fee04c-a4bc-11e6-b34e-083e8ecc6d28,Left,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,
05fee04d-a4bc-11e6-a975-083e8ecc6d28,Both,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,
05fee04e-a4bc-11e6-8f94-083e8ecc6d28,Lower Limbs affected,,Misc,,Coded,,,,,,,Right,Left,Both,,,,,,,,,,,,
05fef3d4-a4bc-11e6-a36a-083e8ecc6d28,Small,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,
05ff075c-a4bc-11e6-a38e-083e8ecc6d28,Huge,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,
05ff075d-a4bc-11e6-a5b7-083e8ecc6d28,Size of Limb,,Misc,,Coded,,,,,,,Small,Medium,Huge,,,,,,,,,,,,
05ff1ae4-a4bc-11e6-988a-083e8ecc6d28,Intertrigo,,Misc,,Boolean,,,,,,,,,,,,,,,,,,,,,
05ff1ae5-a4bc-11e6-8657-083e8ecc6d28,Folliculitis,,Misc,,Boolean,,,,,,,,,,,,,,,,,,,,,
05ff2e74-a4bc-11e6-a1fe-083e8ecc6d28,Excoriation,,Misc,,Boolean,,,,,,,,,,,,,,,,,,,,,
05ff2e75-a4bc-11e6-a839-083e8ecc6d28,Eczema,,Misc,,Boolean,,,,,,,,,,,,,,,,,,,,,
05ff4202-a4bc-11e6-98da-083e8ecc6d28,Paronychia,,Misc,,Boolean,,,,,,,,,,,,,,,,,,,,,
05ff4203-a4bc-11e6-a2d0-083e8ecc6d28,Fissures,,Misc,,Boolean,,,,,,,,,,,,,,,,,,,,,
05ff558a-a4bc-11e6-9d98-083e8ecc6d28,Lymph,,Misc,,Boolean,,,,,,,,,,,,,,,,,,,,,
05ff6914-a4bc-11e6-a78d-083e8ecc6d28,Caries teeth,,Misc,,Boolean,,,,,,,,,,,,,,,,,,,,,
05ff6915-a4bc-11e6-9bae-083e8ecc6d28,Foul smell,,Misc,,Boolean,,,,,,,,,,,,,,,,,,,,,
05ff7ca2-a4bc-11e6-91c3-083e8ecc6d28,History of maggots,,Misc,,Boolean,,,,,,,,,,,,,,,,,,,,,
05ff7ca3-a4bc-11e6-ab82-083e8ecc6d28,Maggots still present,,Misc,,Boolean,,,,,,,,,,,,,,,,,,,,,
05ff9026-a4bc-11e6-9679-083e8ecc6d28,Few,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,
05ff9027-a4bc-11e6-b8ff-083e8ecc6d28,Multiple,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,
05ffa3b8-a4bc-11e6-9e8d-083e8ecc6d28,Plenty,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,
05ffa3b9-a4bc-11e6-b31e-083e8ecc6d28,Fibrous Nodules,,Misc,,Coded,,,,,,,Absent ,Few,Multiple,Plenty,,,,,,,,,,,
05ffa3ba-a4bc-11e6-9c4b-083e8ecc6d28,Did patient notice entry points ?,,Misc,,Boolean,,,,,,,,,,,,,,,,,,,,,
05ffb748-a4bc-11e6-9cce-083e8ecc6d28,When he/she got the fever?,,Misc,,Boolean,,,,,,,,,,,,,,,,,,,,,
05ffcad0-a4bc-11e6-9a6e-083e8ecc6d28,Current treatment for other complaints,,Misc,,Text,,,,,,,,,,,,,,,,,,,,,
05ffcad1-a4bc-11e6-aff0-083e8ecc6d28,Assessment of socio-economic status,,Misc,,Text,,,,,,,,,,,,,,,,,,,,,
05ffde5a-a4bc-11e6-8c38-083e8ecc6d28,What are the emotional supports needed?,,Misc,,Text,,,,,,,,,,,,,,,,,,,,,
