Parent,name,class,datatype,units,High Normal,Low Normal,Allow Decimal,locale,synonym.1,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6,answer.7,answer.8,answer.9,answer.10,answer.11,answer.12,shortname,child.1,child.2,child.3,child.4,child.5,child.6,child.7,reference-term-source,reference-term-code,reference-term-relationship
Baseline Treatment History - 2/3,When do you use compression bandages,Misc,Coded,,,,,,,Day time,Night Time,Not at all,,,,,,,,,,,,,,,,,,,,
Baseline Treatment History - 2/3,Use stockings only / compression bandages,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baseline Treatment History - 3/3,Frequency of purchasing new compression material,Misc,Coded,,,,,,,Weekly,Monthly,Not at all,,,,,,,,,,,,,,,,,,,,
Baseline Treatment History - 3/3,Location of last treatment and particulars,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baseline Treatment History - 3/3,Drugs and Dosage,Misc,Text,,,,,,, , , ,,,,,,,,,,,,,,,,,,,,
Baseline Treatment Details,Year,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baseline Treatment Details,Name and address of institution,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baseline Treatment Details,Nature of treatment,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baseline Treatment Details,Success Rate,Misc,Coded,,,,,,,Ineffective,Minimal,Moderate,High,,,,,,,,,,,,,,,,,,,
Baseline Treatment Details,Drugs and Dosage,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baseline Treatment Details,Any other relevant information,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
History of previous Surgery,For Filariasis,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
History of previous Surgery,For other complaints,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Any other relevant complaints,Complaint,Misc,Coded,,,,,,,Diabetes,Hypertension,Cardiac Disease,Liver Disease,Renal Problem,Orthopaedic,Others,,,,,,,,,,,,,,,,
Any other relevant complaints,Engorged Veins,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Any other relevant complaints,Lower Limbs affected,Misc,Coded,,,,,,,Right,Left,Both,,,,,,,,,,,,,,,,,,,,
Any other relevant complaints,Size of Limb,Misc,Coded,,,,,,,Small,Medium,Huge,,,,,,,,,,,,,,,,,,,,
Details of Entry points - 1/3,Ulcers,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Details of Entry points - 1/3,Intertrigo,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Details of Entry points - 1/3,Folliculitis,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Details of Entry points - 1/3,Excoriation,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Details of Entry points - 1/3,Eczema,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Details of Entry points - 1/3,Paronychia,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Details of Entry points - 2/3,Fissures,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Details of Entry points - 2/3,Lymph,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Details of Entry points - 2/3,Caries teeth,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Details of Entry points - 2/3,Foul smell,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Details of Entry points - 2/3,History of maggots,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Details of Entry points - 2/3,Maggots still present,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Details of Entry points - 3/3,Fibrous Nodules,Misc,Coded,,,,,,,Absent ,Few,Multiple,Plenty,,,,,,,,,,,,,,,,,,,
Details of Entry points - 3/3,Did patient notice presence of entry points ?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Details of Entry points - 3/3,When he/she got the fever?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Details of Entry points - 3/3,Current treatment for other complaints,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Details of Entry points - 3/3,Assessment of socio-economic status,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Details of Entry points - 3/3,What are the emotional supports needed?,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grading,What are major queries of the patient?,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grading,Does the patient require any special services?,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grading,Any deviations from the regular service?,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grading,Did patient understand the duration of treatment,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grading,Whether the patient is educated regarding the entry points,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ask the patient to list the entry points,1),Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ask the patient to list the entry points,2),Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ask the patient to list the entry points,3),Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ask the patient to list the entry points,4),Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ask the patient to list the entry points,5),Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ask the patient to list the entry points,6),Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ask the patient to list the entry points,7),Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whether the patient is ready to:,1. Care and treatment of entry points,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whether the patient is ready to:,2. Perform Yoga life long?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whether the patient is ready to:,3. Perform IMLD life long?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whether the patient is ready to:,4. Use compression life long?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whether the patient is ready to:,5. Follow diet restrictions for first six months?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whether the patient understood the cost of therapy:,1. During the training period,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whether the patient understood the cost of therapy:,2. For six months after the initial training,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whether the patient understood the cost of therapy:,3. Monthly thereafter?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whether the patient understood the cost of therapy:,4. For follow up charges,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Counselor's Impression:,"Notes after discussion with doctor, patient and patient's family members",Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Any other Information,"Details of information given, sought discussed",Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Name of the counselor,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Name of the patient,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Counselor's Observations,Misc,Block,,,,,,"Grading,Ask the patient to list the entry points,Whether the patient is ready to:,Whether the patient understood the cost of therapy:,Counselor's Impression:,Any other Information,Name of the counselor,Name of the patient",,,,,,,"Baseline Past History - 1/2,Baseline Past History - 2/2,Baseline Treatment History - 1/3,Baseline Treatment History - 2/3,Baseline Treatment History - 3/3,Baseline Treatment Details,History of previous Surgery,Any other relevant complaints,Details of Entry points - 1/3,Details of Entry points - 2/3,Details of Entry points - 3/3",,,,,,,,,,,,,,,,
,Annexure 1: Baseline counseling,Misc,Block,,,,,,"Baseline Past History - 1/2,Baseline Past History - 2/2,Baseline Treatment History - 1/3,Baseline Treatment History - 2/3,Baseline Treatment History - 3/3,Baseline Treatment Details,History of previous Surgery,Any other relevant complaints,Details of Entry points - 1/3,Details of Entry points - 2/3,Details of Entry points - 3/3",,,,,,,"Baseline Past History - 1/2,Baseline Past History - 2/2,Baseline Treatment History - 1/3,Baseline Treatment History - 2/3,Baseline Treatment History - 3/3,Baseline Treatment Details,History of previous Surgery,Any other relevant complaints,Details of Entry points - 1/3,Details of Entry points - 2/3,Details of Entry points - 3/3",,,,,,,,,,,,,,,,
