Parent,name,class,datatype,units,High Normal,Low Normal,Allow Decimal,locale,synonym.1,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6,answer.7,answer.8,answer.9,answer.10,answer.11,answer.12,shortname,child.1,child.2,child.3,child.4,child.5,child.6,child.7,child.8,child.9,child.10,reference-term-source,reference-term-code,reference-term-relationship
Baseline Treatment History - 2/3,Regularity of using compression bandages,Misc,Coded,,,,,,,Regular,Irregular,Not at all,,,,,,,,,,,,,,,,,,,,,,,
Baseline Treatment History - 2/3,When do you use compression bandages,Misc,Coded,,,,,,,Day time,Night Time,Not at all,,,,,,,,,,,,,,,,,,,,,,,
Baseline Treatment History - 2/3,Use stockings only / compression bandages,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baseline Treatment History - 3/3,Frequency of purchasing new compression material,Misc,Coded,,,,,,,Weekly,Monthly,Not at all,,,,,,,,,,,,,,,,,,,,,,,
Baseline Treatment History - 3/3,Location of last treatment and particulars,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baseline Treatment History - 3/3,Drugs and Dosage,Misc,Text,,,,,,, , , ,,,,,,,,,,,,,,,,,,,,,,,
Baseline Treatment Details,Year,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baseline Treatment Details,Name and address of institution,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baseline Treatment Details,Nature of treatment,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baseline Treatment Details,Success Rate,Misc,Coded,,,,,,,Ineffective,Minimal,Moderate,High,,,,,,,,,,,,,,,,,,,,,,
Baseline Treatment Details,Drugs and Dosage,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baseline Treatment Details,Any other relevant information,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
History of previous Surgery,For Filariasis,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
History of previous Surgery,For other complaints,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Any other relevant complaints,Complaint,Misc,Coded,,,,,,,Diabetes,Hypertension,Cardiac Disease,Liver Disease,Renal Problem,Orthopaedic,Others,,,,,,,,,,,,,,,,,,,
Any other relevant complaints,Engorged Veins,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Any other relevant complaints,Lower Limbs affected,Misc,Coded,,,,,,,Right,Left,Both,,,,,,,,,,,,,,,,,,,,,,,
Any other relevant complaints,Size of Limb,Misc,Coded,,,,,,,Small,Medium,Huge,,,,,,,,,,,,,,,,,,,,,,,
Details of Entry points - 1/3,Ulcers,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Details of Entry points - 1/3,Intertrigo,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Details of Entry points - 1/3,Folliculitis,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Details of Entry points - 1/3,Excoriation,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Details of Entry points - 1/3,Eczema,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Details of Entry points - 1/3,Paronychia,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Details of Entry points - 2/3,Fissures,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Details of Entry points - 2/3,Lymph,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Details of Entry points - 2/3,Caries teeth,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Details of Entry points - 2/3,Foul smell,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Details of Entry points - 2/3,History of maggots,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Details of Entry points - 2/3,Maggots still present,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Details of Entry points - 3/3,Fibrous Nodules,Misc,Coded,,,,,,,Absent ,Few,Multiple,Plenty,,,,,,,,,,,,,,,,,,,,,,
Details of Entry points - 3/3,Did patient notice presence of entry points ?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Details of Entry points - 3/3,When he/she got the fever?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Details of Entry points - 3/3,Current treatment for other complaints,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Details of Entry points - 3/3,Assessment of socio-economic status,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Details of Entry points - 3/3,What are the emotional supports needed?,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grading,What are major queries of the patient?,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grading,Does the patient require any special services?,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grading,Any deviations from the regular service?,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grading,Did patient understand the duration of treatment,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grading,Whether the patient is educated regarding the entry points,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ask the patient to list the entry points,1),Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ask the patient to list the entry points,2),Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ask the patient to list the entry points,3),Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ask the patient to list the entry points,4),Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ask the patient to list the entry points,5),Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ask the patient to list the entry points,6),Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ask the patient to list the entry points,7),Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whether the patient is ready to:,1. Care and treatment of entry points,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whether the patient is ready to:,2. Perform Yoga life long?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whether the patient is ready to:,3. Perform IMLD life long?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whether the patient is ready to:,4. Use compression life long?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whether the patient is ready to:,5. Follow diet restrictions for first six months?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whether the patient understood the cost of therapy:,1. During the training period,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whether the patient understood the cost of therapy:,2. For six months after the initial training,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whether the patient understood the cost of therapy:,3. Monthly thereafter?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whether the patient understood the cost of therapy:,4. For follow up charges,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Counselor's Impression:,"Notes after discussion with doctor, patient and patient's family members",Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Any other Information,"Details of information given, sought discussed",Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Name of the counselor,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Name of the patient,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Counselor's Observations,Misc,Block,,,,,,"Grading,Ask the patient to list the entry points,Whether the patient is ready to:,Whether the patient understood the cost of therapy:,Counselor's Impression:,Any other Information,Name of the counselor,Name of the patient",,,,,,,"Baseline Past History - 1/2,Baseline Past History - 2/2,Baseline Treatment History - 1/3,Baseline Treatment History - 2/3,Baseline Treatment History - 3/3,Baseline Treatment Details,History of previous Surgery,Any other relevant complaints,Details of Entry points - 1/3,Details of Entry points - 2/3,Details of Entry points - 3/3",,,,,,,,,,,,,,,,,,,
,Annexure 1: Baseline counseling,Misc,Block,,,,,,"Baseline Past History - 1/2,Baseline Past History - 2/2,Baseline Treatment History - 1/3,Baseline Treatment History - 2/3,Baseline Treatment History - 3/3,Baseline Treatment Details,History of previous Surgery,Any other relevant complaints,Details of Entry points - 1/3,Details of Entry points - 2/3,Details of Entry points - 3/3",,,,,,,"Baseline Past History - 1/2,Baseline Past History - 2/2,Baseline Treatment History - 1/3,Baseline Treatment History - 2/3,Baseline Treatment History - 3/3,Baseline Treatment Details,History of previous Surgery,Any other relevant complaints,Details of Entry points - 1/3,Details of Entry points - 2/3,Details of Entry points - 3/3",,,,,,,,,,,,,,,,,,,
1.0 General,Doctor in charge of patient,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0 General,Integrative team managing the patient,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0 General,Counselor in charge of the patient,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.1 Demographic details,1. Marital status,Misc,Coded,,,,,,,Unmarried,Married,Widow,Seperated due to disease,,,,,,,,,,,,,,,,,,,,,,
1.1 Demographic details,2. Living with,Misc,Coded,,,,,,,Alone,Spouse,Son,Daughter,Relative,Parents,Other,,,,,,,,,,,,,,,,,,,
1.1 Demographic details,3. Employment status,Misc,Coded,,,,,,,Unemployed,Part time,Full time employed,House Making,Not working due to illness,Other,,,,,,,,,,,,,,,,,,,,
1.1 Demographic details,4. What type of ration card is provided to you?,Misc,Coded,,,,,,,APL,BPL,,,,,,,,,,,,,,,,,,,,,,,,
1.1 Demographic details,5. Family annual income,Misc,Coded,,,,,,,"Rs 25,000-20,000","Rs 2,00,000-5,00,000","Rs 5,00,000-10,00,000",Above 10 lakhs,,,,,,,,,,,,,,,,,,,,,,
1.1 Demographic details,6. Total family members,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.2 Environmental Factors,7. Where were you living before one year when swelling developed?,Misc,Coded,,,,,,,Coastal Area,Hilly area,Others,,,,,,,,,,,,,,,,,,,,,,,
1.2 Environmental Factors,8. Is there any stagnant water in your surroundings?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.2 Environmental Factors,9. Is there any back water in your surroundings,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.2 Environmental Factors,10. Do you have proper drainage facility in your house & surroundings,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.2 Environmental Factors,11. Do you use common toilet which is not maintained properly?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.2 Environmental Factors,12. Industrialization around your house?,Misc,Boolean,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,
1.2 Environmental Factors,13. Garbage dumped around your house/area?(improper waste disposal),Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.2 Environmental Factors,14. Is your house surrounded by agriculture lans?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.2 Environmental Factors,15. What type of house are you living?,Misc,Coded,,,,,,,Independent house,Colony,Slum (area congested),Others,,,,,,,,,,,,,,,,,,,,,,
1.3 General Information about the disease,16. Body parts effected?,Misc,Coded,,,,,,,Right Lower limb,Left Lower limb,Bilateral Lower limb,Right Upper limb,Left Upper limb,Bilateral Upper limb,Genital,Whole body,Others,,,,,,,,,,,,,,,,,
1.3 General Information about the disease,17. Since how long you have this swelling,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18. When was the fever episode,First,Misc,Text,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,
18. When was the fever episode,Last,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19. What is the frequency of ADLA in a year,Before,Misc,Coded,,,,,,,0-3 months,3-6 months,6-12 months,,,,,,,,,,,,,,,,,,,,,,,
19. What is the frequency of ADLA in a year,After,Misc,Text,,,,,,,0-3 months,3-6 months,6-12 months,,,,,,,,,,,,,,,,,,,,,,,
1.3 General Information about the disease,20. According to you what is the cause of swelling?,Misc,Coded,,,,,,,A) From birth,B) After surgery / accident,C) Mosquito bite,D) After attaining puberty,E) Others,,,,,,,,,,,,,,,,,,,,,
1.3 General Information about the disease,21. Any treatments taken earlier?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.3 General Information about the disease,22. Any history of disease in the family?,Misc,Boolean,,,,,,, , , ,,,,,,,,,,,,,,,,,,,,,,,
1.3 General Information about the disease,23. Has your employment status changed because of the disease?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.3 General Information about the disease,24. Has your family income changed because of the disease?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.3 General Information about the disease,25. Do you feel poor hygiene will increase the disease?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.3 General Information about the disease,26. How do you view your disease?,Misc,Coded,,,,,,,A) Very problematic,b) Moderately problematic,C) Slightly problematic,D) Not problematic,,,,,,,,,,,,,,,,,,,,,,
1.3 General Information about the disease,27. What is your family's attitude towards your disease?,Misc,Coded,,,,,,,A) Caring,B) Accepting,C) Dismissive,D) Ignoring,,,,,,,,,,,,,,,,,,,,,,
1.3 General Information about the disease,28. How often have you visited the clinic per year due to the swelling and infection?,Misc,Coded,,,,,,,A) Never,B) 1-5 times,C) 5-10 times,D) More then 10 times,,,,,,,,,,,,,,,,,,,,,,
29. Health seeking behaviour of the patient,Primary Consultation,Misc,Coded,,,,,,,A) Lymphoedema,B) Other disease,,,,,,,,,,,,,,,,,,,,,,,,
29. Health seeking behaviour of the patient,Whether they take OTC?,Misc,Coded,,,,,,,A) Lymphoedema,B) Other disease,,,,,,,,,,,,,,,,,,,,,,,,
29. Health seeking behaviour of the patient,Treatment systems undergone for Lymphoedema,Misc,Text,,,,,,,Diabetes,Hypertension,Cardiac Disease,Liver Disease,Renal Problem,Orthopaedic,Others,,,,,,,,,,,,,,,,,,,
1.3 General Information about the disease,30. Health Literacy of the patient,Misc,Coded,,,,,,,Cause,Entry point,ADLA care,Other treatment available,,,,,,,,,,,,,,,,,,,,,,
1.3 General Information about the disease,Counselor's impression on admission,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.3 General Information about the disease,Counselor's Name,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Part 1: Baseline Data,Misc,Block,,,,,,"1.0 General,1.1 Demographic details,1.2 Environmental Factors,1.3 General Information about the disease,18. When was the fever episode,19. What is the frequency of ADLA in a year,1.3 General Information about the disease,29. Health seeking behaviour of the patient,1.3 General Information about the disease",,,,,,,,,,,,,,,,,,,,,,,,,,
Mobility,Sitting or Getting out of a chair,Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,,,
Mobility,Sitting or Getting up from floor,Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,,,
Mobility,Lying down on cot,Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,,,
Mobility,Climbing stairs,Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,,,
Mobility,Wearing footwear,Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,,,
Mobility,Walking long distances,Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,,,
Mobility,Travel by public transportation,Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,,,
Self Care,Dressing myself,Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,,,
Self Care,Bathing,Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,,,
Self Care,Washing clothes by myself,Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,,,
Self Care,Difficulty in using Indian toilet,Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,,,
Self Care,Difficulty in using Western toilet,Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,,,
Usual activities,Problems in cooking,Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,,,
Usual activities,Difficulty in cleaning floors,Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,,,
Usual activities,Difficulty in gardening,Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,,,
Usual activities,Difficulty in agrarian work,Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,,,
Usual activities,Difficulty in continuing normal leisure activities,Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,,,
Usual activities,Difficulty in continuing the job,Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,,,
Usual activities,Difficulty in continuing the education,Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,,,
Disease Burden,"History of painful redness, swelling and cellulitie of leg(filarial fever)",Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,,,
Disease Burden,Foul smell (Odour),Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,,,
Disease Burden,Itching (Eczema/Discharge from limb),Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,,,
Disease Burden,Wound (Non-healing ulcer),Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,,,
Disease Burden,Weight / size of limb,Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,,,
Pain/Discomfort,Pain increases at night,Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,,,
Pain/Discomfort,Pain increases during the day,Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,,,
Pain/Discomfort,Pain increases while walking,Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,,,
Pain/Discomfort,Pain increases while sitting,Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,,,
Pain/Discomfort,Pain in the joints,Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,,,
Pain/Discomfort,Pain in the unaffected part of body,Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,,,
Pain/Discomfort,Painful ulcers,Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,,,
Psychological Health,Experience sense of failure?,Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,,,
Psychological Health,Fear something bad might happen to you?,Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,,,
Psychological Health,Discouraged / tensed about the future?,Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,,,
Psychological Health,Feeling neglected by friends and family members?,Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,,,
Psychological Health,Feeling lonely?,Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,,,
Psychological Health,Feeling tensed about your disease?,Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,,,
Psychological Health,Find it difficult in concentration & memory?,Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,,,
Social participation,Has your lifestyle changed after getting  the disease?,Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,,,
Social participation,Do you have problem in moving around freely without feeling self-conscious?,Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,,,
Social participation,Do you have problem in approaching people in the community?,Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,,,
Social participation,Do you have problem joining in social activities/get together?,Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,,,
Social participation,How much problem you have faced because of ill health?,Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,,,
,Domain of Indian Lifestyle,Misc,Block,,,,,,"Mobility,Self Care,Usual activities,Disease Burden,Pain/Discomfort,Psychological Health,Social participation",,,,,,,,,,,,,,,,,,,,,,,,,,
,How do you rate your overall health in the past 30 days?,Misc,Block,,,,,,Domain of Indian Lifestyle,,,,,,,,,,,,,,,,,,,,,,,,,,
,Part 2. Lymphatic Filariasis Specific Quality of Life Questionnaire (LFSQQ),Misc,Block,,,,,,How do you rate your overall health in the past 30 days?,,,,,,,,,,,,,,,,,,,,,,,,,,
Recent inflammatory episode,Which side?,Misc,Coded,,,,,,,Right,Left,Both,,,,,,,,,,,,,,,,,,,,,,,
Recent inflammatory episode,Frequency/Duration,Concept Details,,,,,,,,,,,,,,,,,,,,,Which side?,Non-Coded Chief Complaint,Chief Complaint Duration,,,,,,,,,,
Recent inflammatory episode,Observation,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Using injection/Consuming antibiotics for prevention of fever attacks,Which side?,Misc,Coded,,,,,,,Right,Left,Both,,,,,,,,,,,,,,,,,,,,,,,
Using injection/Consuming antibiotics for prevention of fever attacks,Frequency/Duration,Concept Details,,,,,,,,,,,,,,,,,,,,,Which side?,Non-Coded Chief Complaint,Chief Complaint Duration,,,,,,,,,,
Using injection/Consuming antibiotics for prevention of fever attacks,Observation,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Genital organs affected,Which side?,Misc,Coded,,,,,,,Right,Left,Both,,,,,,,,,,,,,,,,,,,,,,,
Genital organs affected,Frequency/Duration,Concept Details,,,,,,,,,,,,,,,,,,,,,Which side?,Non-Coded Chief Complaint,Chief Complaint Duration,,,,,,,,,,
Genital organs affected,Observation,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surgery for hydrocele,Which side?,Misc,Coded,,,,,,,Right,Left,Both,,,,,,,,,,,,,,,,,,,,,,,
Surgery for hydrocele,Frequency/Duration,Concept Details,,,,,,,,,,,,,,,,,,,,,Which side?,Non-Coded Chief Complaint,Chief Complaint Duration,,,,,,,,,,
Surgery for hydrocele,Observation,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sudden increase in limb size,Which side?,Misc,Coded,,,,,,,Right,Left,Both,,,,,,,,,,,,,,,,,,,,,,,
Sudden increase in limb size,Frequency/Duration,Concept Details,,,,,,,,,,,,,,,,,,,,,Which side?,Non-Coded Chief Complaint,Chief Complaint Duration,,,,,,,,,,
Sudden increase in limb size,Observation,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
