Parent,name,class,datatype,units,High Normal,Low Normal,Allow Decimal,locale,synonym.1,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6,answer.7,answer.8,answer.9,answer.10,answer.11,answer.12,shortname,child.1,child.2,child.3,child.4,child.5,child.6,child.7,child.8,child.9,child.10,reference-term-source,reference-term-code,reference-term-relationship
1.3 General Information about the disease,23. Has your employment status changed because of the disease?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.3 General Information about the disease,24. Has your family income changed because of the disease?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.3 General Information about the disease,25. Do you feel poor hygiene will increase the disease?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.3 General Information about the disease,26. How do you view your disease?,Misc,Coded,,,,,,,A) Very problematic,b) Moderately problematic,C) Slightly problematic,D) Not problematic,,,,,,,,,,,,,,,,,,,,,,
1.3 General Information about the disease,27. What is your family's attitude towards your disease?,Misc,Coded,,,,,,,A) Caring,B) Accepting,C) Dismissive,D) Ignoring,,,,,,,,,,,,,,,,,,,,,,
1.3 General Information about the disease,28. How often have you visited the clinic per year due to the swelling and infection?,Misc,Coded,,,,,,,A) Never,B) 1-5 times,C) 5-10 times,D) More then 10 times,,,,,,,,,,,,,,,,,,,,,,
29. Health seeking behaviour of the patient,Primary Consultation,Misc,Coded,,,,,,,A) Lymphoedema,B) Other disease,,,,,,,,,,,,,,,,,,,,,,,,
29. Health seeking behaviour of the patient,Whether they take OTC?,Misc,Coded,,,,,,,A) Lymphoedema,B) Other disease,,,,,,,,,,,,,,,,,,,,,,,,
29. Health seeking behaviour of the patient,Treatment systems undergone for Lymphoedema,Misc,Text,,,,,,,Diabetes,Hypertension,Cardiac Disease,Liver Disease,Renal Problem,Orthopaedic,Others,,,,,,,,,,,,,,,,,,,
1.3 General Information about the disease,30. Health Literacy of the patient,Misc,Coded,,,,,,,Cause,Entry point,ADLA care,Other treatment available,,,,,,,,,,,,,,,,,,,,,,
1.3 General Information about the disease,Counselor's impression on admission,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.3 General Information about the disease,Counselor's Name,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Part 1: Baseline Data,Misc,Block,,,,,,"1.0 General,1.1 Demographic details,1.2 Environmental Factors,1.3 General Information about the disease,18. When was the fever episode,19. What is the frequency of ADLA in a year,1.3 General Information about the disease,29. Health seeking behaviour of the patient,1.3 General Information about the disease",,,,,,,,,,,,,,,,,,,,,,,,,,
Mobility,Sitting or Getting out of a chair,Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,,,
Mobility,Sitting or Getting up from floor,Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,,,
Mobility,Lying down on cot,Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,,,
Mobility,Climbing stairs,Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,,,
Mobility,Wearing footwear,Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,,,
Mobility,Walking long distances,Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,,,
Mobility,Travel by public transportation,Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,,,
Self Care,Dressing myself,Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,,,
Self Care,Bathing,Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,,,
Self Care,Washing clothes by myself,Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,,,
Self Care,Difficulty in using Indian toilet,Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,,,
Self Care,Difficulty in using Western toilet,Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,,,
Usual activities,Problems in cooking,Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,,,
Usual activities,Difficulty in cleaning floors,Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,,,
Usual activities,Difficulty in gardening,Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,,,
Usual activities,Difficulty in agrarian work,Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,,,
Usual activities,Difficulty in continuing normal leisure activities,Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,,,
Usual activities,Difficulty in continuing the job,Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,,,
Usual activities,Difficulty in continuing the education,Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,,,
Disease Burden,"History of painful redness, swelling and cellulitie of leg(filarial fever)",Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,,,
Disease Burden,Foul smell (Odour),Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,,,
Disease Burden,Itching (Eczema/Discharge from limb),Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,,,
Disease Burden,Wound (Non-healing ulcer),Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,,,
Disease Burden,Weight / size of limb,Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,,,
Pain/Discomfort,Pain increases at night,Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,,,
Pain/Discomfort,Pain increases during the day,Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,,,
Pain/Discomfort,Pain increases while walking,Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,,,
Pain/Discomfort,Pain increases while sitting,Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,,,
Pain/Discomfort,Pain in the joints,Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,,,
Pain/Discomfort,Pain in the unaffected part of body,Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,,,
Pain/Discomfort,Painful ulcers,Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,,,
Psychological Health,Experience sense of failure?,Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,,,
Psychological Health,Fear something bad might happen to you?,Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,,,
Psychological Health,Discouraged / tensed about the future?,Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,,,
Psychological Health,Feeling neglected by friends and family members?,Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,,,
Psychological Health,Feeling lonely?,Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,,,
Psychological Health,Feeling tensed about your disease?,Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,,,
Psychological Health,Find it difficult in concentration & memory?,Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,,,
Social participation,Has your lifestyle changed after getting  the disease?,Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,,,
Social participation,Do you have problem in moving around freely without feeling self-conscious?,Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,,,
Social participation,Do you have problem in approaching people in the community?,Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,,,
Social participation,Do you have problem joining in social activities/get together?,Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,,,
Social participation,How much problem you have faced because of ill health?,Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,,,
,How do you rate your overall health in the past 30 days?,Misc,Block,,,,,,"Mobility,Self Care,Usual activities,Disease Burden,Pain/Discomfort,Psychological Health,Social participation",,,,,,,,,,,,,,,,,,,,,,,,,,
,Part 2. Lymphatic Filariasis Specific Quality of Life Questionnaire (LFSQQ),Misc,Block,,,,,,How do you rate your overall health in the past 30 days?,,,,,,,,,,,,,,,,,,,,,,,,,,
,Describe,Misc,Coded,,,,,,,Right,Left,Both,N/A,,,,,,,,,,,,,,,,,,,,,,
Recent inflammatory episode,Frequency/Duration,Concept Details,,,,,,,,,,,,,,,,,,,,,Describe,Non-Coded Chief Complaint,Chief Complaint Duration,,,,,,,,,,
Using injection/Consuming antibiotics for prevention of fever attacks,Frequency/Duration,Concept Details,,,,,,,,,,,,,,,,,,,,,Describe,Non-Coded Chief Complaint,Chief Complaint Duration,,,,,,,,,,
Genital organs affected,Frequency/Duration,Concept Details,,,,,,,,,,,,,,,,,,,,,Describe,Non-Coded Chief Complaint,Chief Complaint Duration,,,,,,,,,,
Surgery for hydrocele,Frequency/Duration,Concept Details,,,,,,,,,,,,,,,,,,,,,Describe,Non-Coded Chief Complaint,Chief Complaint Duration,,,,,,,,,,
Sudden increase in limb size,Frequency/Duration,Concept Details,,,,,,,,,,,,,,,,,,,,,Describe,Non-Coded Chief Complaint,Chief Complaint Duration,,,,,,,,,,
Discharge from the limb/ulcer/eczema,Frequency/Duration,Concept Details,,,,,,,,,,,,,,,,,,,,,Describe,Non-Coded Chief Complaint,Chief Complaint Duration,,,,,,,,,,
Local lymphadenopathy,Frequency/Duration,Concept Details,,,,,,,,,,,,,,,,,,,,,Describe,Non-Coded Chief Complaint,Chief Complaint Duration,,,,,,,,,,
Presence of odor,Frequency/Duration,Concept Details,,,,,,,,,,,,,,,,,,,,,Describe,Non-Coded Chief Complaint,Chief Complaint Duration,,,,,,,,,,
Presence of fibrous nodules,Frequency/Duration,Concept Details,,,,,,,,,,,,,,,,,,,,,Describe,Non-Coded Chief Complaint,Chief Complaint Duration,,,,,,,,,,
,How the odema was developed,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Clinical assessment of aetiology,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Family History (pedigree chart),Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medical History,Mode of treatment,Misc,Coded,,,,,,,Modern medicine,Homoeopathy,Folklore medicine,Ayurveda,Unani,Any other(specify),,,,,,,,,,,,,,,,,,,,
Medical History,Medication name,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medical History,Duration,Concept Details,,,,,,,,,,,,,,,,,,,,,Medication name,Non-Coded Chief Complaint,Chief Complaint Duration,,,,,,,,,,
Medical History,Outcome,Misc,Coded,,,,,,,Improved,Aggravated,No change,Cured,Caused cellulitis,,,,,,,,,,,,,,,,,,,,,
,3.1 History of present illness,Misc,Block,,,,,,"Recent inflammatory episode,Using injection/Consuming antibiotics for prevention of fever attacks,Genital organs affected,Surgery for hydrocele,Sudden increase in limb size,Discharge from the limb/ulcer/eczema,Local lymphadenopathy,Presence of odor,Presence of fibrous nodules,How the odema was developed,Clinical assessment of aetiology,Family History (pedigree chart),Medical History",,,,,,,,,,,,,,,,,,,,,,,,,,
3.2 Physical Examination at baseline,General Examination,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.2 Physical Examination at baseline,Systemic Examination,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.3 Photo documentation,View,Misc,Coded,,,,,,,Anterior view,Right lateral view,Posterior view,Left lateral view,Video recording of special procedure,Video recording of gait,,,,,,,,,,,,,,,,,,,,
3.3 Photo documentation,Image,Image,Complex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.3 Photo documentation,Others/Discussed,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total Count,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Differential Count,N:________ %,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Differential Count,L:________ %,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Differential Count,E:________ %,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Differential Count,B:________ %,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Differential Count,M:________ %,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESR at 1st hour,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hb%(gm%),Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Plasma glucose level (PGL),Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Serum creatinine,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liver function tests,ALT,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liver function tests,SGPT,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liver function tests,SGOT,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liver function tests,Serum Bilirubin,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Filariasis card test(ICT),Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Urine Analysis,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ECG,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pus for C/S,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Doppler study,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ultrasonography of skin,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other specific investigation,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3.4 Baseline Investigations,Misc,Block,,,,,,"Total Count,Differential Count,ESR at 1st hour,Hb%(gm%),Plasma glucose level (PGL),Serum creatinine,Liver function tests,Filariasis card test(ICT),Urine Analysis,ECG,Pus for C/S,Doppler study,Ultrasonography of skin,Other specific investigation",,,,,,,,,,,,,,,,,,,,,,,,,,
Limb Length from ASIS to ground,Distance from ASIS ,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Limb Length from ASIS to ground,Right,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Limb Length from ASIS to ground,Left,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foot Length from medial side,Distance from ASIS ,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foot Length from medial side,Right,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foot Length from medial side,Left,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maximum calf bulk,Distance from ASIS ,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maximum calf bulk,Right,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maximum calf bulk,Left,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid thigh,Distance from ASIS ,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid thigh,Right,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid thigh,Left,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patellar region,Distance from ASIS ,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patellar region,Right,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patellar region,Left,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maximal bulk,Distance from ASIS ,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maximal bulk,Right,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maximal bulk,Left,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
End of calf muscle bulk,Distance from ASIS ,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
End of calf muscle bulk,Right,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
End of calf muscle bulk,Left,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ankle,Distance from ASIS ,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ankle,Right,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ankle,Left,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid foot,Distance from ASIS ,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid foot,Right,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid foot,Left,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metatarsal ,Distance from ASIS ,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metatarsal ,Right,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metatarsal ,Left,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Limb Measurements by,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Measurements from anterior superior iliac Spine (ASIS) (in cms),Misc,Block,,,,,,"Limb Length from ASIS to ground,Foot Length from medial side,Maximum calf bulk,Mid thigh,Patellar region,Maximal bulk,End of calf muscle bulk,Ankle,Mid foot,Metatarsal,Limb Measurements by",,,,,,,,,,,,,,,,,,,,,,,,,,
Limb volume (Displaced water method),Right Leg,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Limb volume (Displaced water method),Left Leg,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Waist circumference,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Abdominal girth,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Height?,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Body Weight(Kg),Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Body weight time of measurement,Misc,Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Body Mass index,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Measured by,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Reason if volume measurement not done,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Volume and body weight,Misc,Block,,,,,,"Limb volume (Displaced water method),Waist circumference,Abdominal girth,Height?,Body Weight(Kg),Body weight time of measurement,Body Mass index,Measured by,Reason if volume measurement not done",,,,,,,,,,,,,,,,,,,,,,,,,,
,3.5 Limb Circumferential measurements template,Misc,Block,,,,,,"Measurements from anterior superior iliac Spine (ASIS) (in cms),Volume and body weight",,,,,,,,,,,,,,,,,,,,,,,,,,
Grading check,Oedema Right,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grading check,Oedema Left,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grading check,Grade Right,Misc,Coded,,,,,,,"I - Pitting edemaoedema may present, completely resolve on elevation (during overnight) and normal skin","II(early) - Pitting edemaoedema manifests, does not resolve completely  on elevation (overnight). Normal skin",II(late) - Late stages of II with non-pitting oedema & thickened skin,"III - Oedema is not pitting with tropic skin changes: Acanthosis, Fat deposits, Warty over growth",,,,,,,,,,,,,,,,,,,,,,
Grading check,Grade Left,Misc,Coded,,,,,,,"I - Pitting edemaoedema may present, completely resolve on elevation (during overnight) and normal skin","II(early) - Pitting edemaoedema manifests, does not resolve completely  on elevation (overnight). Normal skin",II(late) - Late stages of II with non-pitting oedema & thickened skin,,,,,,,,,,,,,,,,,,,,,,,
,Obesity related?,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Is it lipedema?,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Grading*,Misc,Block,,,,,,"Grading check,Obesity related?,Is it lipedema?",,,,,,,,,,,,,,,,,,,,,,,,,,
Second great toe,Right skin fold,Misc,Coded,,,,,,,1+ Easily pinchable like normal skin,2+ Skin Thickened but pinchable,3+ Skin Thickened but hardly pinchable,4+ Skin Thickened can not be pinched; Stemmer's Sign Positive,,,,,,,,,,,,,,,,,,,,,,
Second great toe,Left skin fold,Misc,Coded,,,,,,,1+ Easily pinchable like normal skin,2+ Skin Thickened but pinchable,3+ Skin Thickened but hardly pinchable,4+ Skin Thickened can not be pinched; Stemmer's Sign Positive,,,,,,,,,,,,,,,,,,,,,,
Mid foot,Right skin fold,Misc,Coded,,,,,,,1+ Easily pinchable like normal skin,2+ Skin Thickened but pinchable,3+ Skin Thickened but hardly pinchable,4+ Skin Thickened can not be pinched; Stemmer's Sign Positive,,,,,,,,,,,,,,,,,,,,,,
Mid foot,Left skin fold,Misc,Coded,,,,,,,1+ Easily pinchable like normal skin,2+ Skin Thickened but pinchable,3+ Skin Thickened but hardly pinchable,4+ Skin Thickened can not be pinched; Stemmer's Sign Positive,,,,,,,,,,,,,,,,,,,,,,
Any changes in grading at the different locations of limb,Right?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Any changes in grading at the different locations of limb,Left?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Skin Fold thickness,Misc,Block,,,,,,"Second great toe,Mid foot,Any changes in grading at the different locations of limb",,,,,,,,,,,,,,,,,,,,,,,,,,
