uuid,name,description,class,shortname,datatype,units,High Normal,Low Normal,Allow Decimal,locale,synonym.1,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6,answer.7,answer.8,answer.9,answer.10,answer.11,answer.12,reference-term-source,reference-term-code,reference-term-relationship
17925bdf-9cfc-11e6-9e5b-083e8ecc6d28,Intertrigo,,Misc,,Coded,,,,,,,Yes,No,,,,,,,,,,,,,
17925be0-9cfc-11e6-b817-083e8ecc6d28,Folliculitis,,Misc,,Coded,,,,,,,Yes,No,,,,,,,,,,,,,
17925be1-9cfc-11e6-88f2-083e8ecc6d28,Excoriation,,Misc,,Coded,,,,,,,Yes,No,,,,,,,,,,,,,
17928210-9cfc-11e6-9e10-083e8ecc6d28,Eczema,,Misc,,Coded,,,,,,,Yes,No,,,,,,,,,,,,,
17928211-9cfc-11e6-9c16-083e8ecc6d28,Paronychia,,Misc,,Coded,,,,,,,Yes,No,,,,,,,,,,,,,
17928212-9cfc-11e6-a66b-083e8ecc6d28,Fissures,,Misc,,Coded,,,,,,,Yes,No,,,,,,,,,,,,,
17928213-9cfc-11e6-907f-083e8ecc6d28,Lymph,,Misc,,Coded,,,,,,,Yes,No,,,,,,,,,,,,,
17928214-9cfc-11e6-a253-083e8ecc6d28,Caries teeth,,Misc,,Coded,,,,,,,Yes,No,,,,,,,,,,,,,
17928215-9cfc-11e6-ab9b-083e8ecc6d28,Foul smell,,Misc,,Coded,,,,,,,Yes,No,,,,,,,,,,,,,
1792a840-9cfc-11e6-a968-083e8ecc6d28,History of maggots,,Misc,,Coded,,,,,,,Yes,No,,,,,,,,,,,,,
1792a841-9cfc-11e6-b7a2-083e8ecc6d28,Maggots stil present,,Misc,,Coded,,,,,,,Yes,No,,,,,,,,,,,,,
1792a842-9cfc-11e6-b6d3-083e8ecc6d28,Few,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,
1792a843-9cfc-11e6-857d-083e8ecc6d28,Multiple,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,
1792a844-9cfc-11e6-9b39-083e8ecc6d28,Plenty,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,
1792a845-9cfc-11e6-8355-083e8ecc6d28,Fibrous Nodules,,Misc,,Coded,,,,,,,Absent ,Few,Multiple,Plenty,,,,,,,,,,,
1792a846-9cfc-11e6-9d88-083e8ecc6d28,Did patient notice entry points ?,,Misc,,Coded,,,,,,,Yes,No,,,,,,,,,,,,,
1792ce6c-9cfc-11e6-9be1-083e8ecc6d28,When he/she got the fever?,,Misc,,Coded,,,,,,,Yes,No,,,,,,,,,,,,,
1792ce6d-9cfc-11e6-97ca-083e8ecc6d28,Current treatment for other complaints,,Misc,,,,,,,,,,,,,,,,,,,,,,,
1792ce6e-9cfc-11e6-adeb-083e8ecc6d28,Assessment of socioeconomic status,,Misc,,,,,,,,,,,,,,,,,,,,,,,
1792ce6f-9cfc-11e6-925b-083e8ecc6d28,What are the emotional supports needed?,,Misc,,,,,,,,,,,,,,,,,,,,,,,
