Parent,name,class,datatype,units,High Normal,Low Normal,Allow Decimal,locale,synonym.1,answer,shortname,child.1,child.2,child.3,child.4,child.5,child.6,child.7,child.8,child.9,child.10,reference-term-source,reference-term-code,reference-term-relationship
,Nodules presence,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,
,Scars,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,
,Erythema,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,
,Temperature on area of the redness,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,
,Tenderness on erythema,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,
,Clinical evidence of cellulitis,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,
,Warmth on limb Sites,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,
,Colour of the skin,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,
,Growth of hair,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,
,Right Dermatological Examination,Misc,Block,,,,,,"Ulcers?,Folliculitis,Excoriations,Eczema,Paronychia,Fissures/cracks in feet,Intertrigo - Interdigital:,Intertrigo - First:,Intertrigo - Second:,Intertrigo - Third:,Intertrigo - Fourth:,Intertrigo - Between folds:,Keratoderma,Thickening of skin,Warty growth,Nodules presence,Scars,Erythema,Temperature on area of the redness,Tenderness on erythema,Clinical evidence of cellulitis,Warmth on limb Sites,Colour of the skin,Growth of hair",,,,,,,,,,,,,,,
,Left Dermatological Examination,Misc,Block,,,,,,"Ulcers?,Folliculitis,Excoriations,Eczema,Paronychia,Fissures/cracks in feet,Intertrigo - Interdigital:,Intertrigo - First:,Intertrigo - Second:,Intertrigo - Third:,Intertrigo - Fourth:,Intertrigo - Between folds:,Keratoderma,Thickening of skin,Warty growth,Nodules presence,Scars,Erythema,Temperature on area of the redness,Tenderness on erythema,Clinical evidence of cellulitis,Warmth on limb Sites,Colour of the skin,Growth of hair",,,,,,,,,,,,,,,
,General Dermatological Entry Points Table,Misc,Block,,,,,,"Right Dermatological Examination,Left Dermatological Examination",,,,,,,,,,,,,,,
,Caries teeth,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,
,Any Other skin issue,Misc,Text,,,,,,,,,,,,,,,,,,,,,
,General Dermatological Exam,Misc,Block,,,,,,"General Dermatological Entry Points Table,Caries teeth,Any Other skin issue",,,,,,,,,,,,,,,
,Fibrous Nodules,Misc,Coded,,,,,,,"Absent,Few,Multiple,Plenty",,,,,,,,,,,,,,
,Did patient notice presence of entry points ?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,
,When he/she got the fever?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,
,Current treatment for other complaints,Misc,Text,,,,,,,,,,,,,,,,,,,,,
,Assessment of socio-economic status,Misc,Text,,,,,,,,,,,,,,,,,,,,,
,What are the emotional supports needed?,Misc,Text,,,,,,,,,,,,,,,,,,,,,
Grading,What are major queries of the patient?,Misc,Text,,,,,,,,,,,,,,,,,,,,,
Grading,Does the patient require any special services?,Misc,Text,,,,,,,,,,,,,,,,,,,,,
Grading,Any deviations from the regular service?,Misc,Text,,,,,,,,,,,,,,,,,,,,,
Grading,Did patient understand the duration of treatment,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,
Grading,Whether the patient is educated regarding the entry points,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,
Ask the patient to list the entry points,Known Entry Point,Misc,Text,,,,,,,,,,,,,,,,,,,,,
Whether the patient is ready to:,1. Care and treatment of entry points,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,
Whether the patient is ready to:,2. Perform Yoga life long?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,
Whether the patient is ready to:,3. Perform IMLD life long?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,
Whether the patient is ready to:,4. Use compression life long?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,
Whether the patient is ready to:,5. Follow diet restrictions for first six months?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,
Whether the patient understood the cost of therapy:,1. During the training period,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,
Whether the patient understood the cost of therapy:,2. For six months after the initial training,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,
Whether the patient understood the cost of therapy:,3. Monthly thereafter?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,
Whether the patient understood the cost of therapy:,4. For follow up charges,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,
Counselor's Impression:,"Notes after discussion with doctor, patient and patient's family members",Misc,Text,,,,,,,,,,,,,,,,,,,,,
Any other Information,"Details of information given, sought discussed",Misc,Text,,,,,,,,,,,,,,,,,,,,,
,Name of the counselor,Misc,Text,,,,,,,,,,,,,,,,,,,,,
,Name of the patient,Misc,Text,,,,,,,,,,,,,,,,,,,,,
,Counselor's Observations,Misc,Block,,,,,,"Grading,Ask the patient to list the entry points,Whether the patient is ready to:,Whether the patient understood the cost of therapy:,Counselor's Impression:,Any other Information,Name of the counselor,Name of the patient",,,,,,,,,,,,,,,
,Annexure 1: Baseline counseling for Lymphodema,Misc,Block,,,,,,"Baseline Past History,Baseline Treatment History,Baseline Treatment Details,History of previous Surgery,Any other relevant complaints,General Dermatological Exam,Fibrous Nodules,Did patient notice presence of entry points ?,When he/she got the fever?,Current treatment for other complaints,Assessment of socio-economic status,What are the emotional supports needed?,Counselor's Observations",,,,,,,,,,,,,,,
1.1 DEMOGRAPHIC DETAILS,1. Marital status,Misc,Coded,,,,,,,"Unmarried,Married,Widow,Seperated due to disease",,,,,,,,,,,,,,
1.1 DEMOGRAPHIC DETAILS,2. Living with,Misc,Coded,,,,,,,"Alone,Spouse,Son,Daughter,Relative,Parents,Other",,,,,,,,,,,,,,
1.1 DEMOGRAPHIC DETAILS,3. Employment status,Misc,Coded,,,,,,,"Unemployed,Part time,Full time employed,House Making,Not working due to illness,Other",,,,,,,,,,,,,,
1.1 DEMOGRAPHIC DETAILS,4. What type of ration card is provided to you?,Misc,Coded,,,,,,,"APL,BPL",,,,,,,,,,,,,,
1.1 DEMOGRAPHIC DETAILS,5. Family annual income,Misc,Coded,,,,,,,"Rs. 25000-200000,Rs. 200000-500000,Rs. 500000-1000000,Above 10 lakhs",,,,,,,,,,,,,,
1.1 DEMOGRAPHIC DETAILS,6. Total family members,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,
1.2 ENVIRONMENTAL FACTORS,7. Where were you living before one year when swelling developed?,Misc,Coded,,,,,,,"Coastal Area,Hilly Area,Others",,,,,,,,,,,,,,
1.2 ENVIRONMENTAL FACTORS,8. Is there any stagnant water in your surroundings?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,
1.2 ENVIRONMENTAL FACTORS,9. Is there any back water in your surroundings,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,
1.2 ENVIRONMENTAL FACTORS,10. Do you have proper drainage facility in your house & surroundings,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,
1.2 ENVIRONMENTAL FACTORS,11. Do you use common toilet which is not maintained properly?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,
1.2 ENVIRONMENTAL FACTORS,12. Industrialization around your house?,Misc,Boolean,,,,,,, ,,,,,,,,,,,,,,
1.2 ENVIRONMENTAL FACTORS,13. Garbage dumped around your house/area?(improper waste disposal),Misc,Boolean,,,,,,,,,,,,,,,,,,,,,
1.2 ENVIRONMENTAL FACTORS,14. Is your house surrounded by agriculture lans?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,
1.2 ENVIRONMENTAL FACTORS,15. What type of house are you living?,Misc,Coded,,,,,,,"Independent house,Colony,Slum (area congested),Others",,,,,,,,,,,,,,
,16. Body parts effected?,Misc,Coded,,,,,,,"Right Lower limb,Left Lower limb,Bilateral Lower limb,Right Upper limb,Left Upper limb,Bilateral Upper limb,Genital,Whole body,Others",,,,,,,,,,,,,,
,17. Since how long you have this swelling,Misc,Text,,,,,,,,,,,,,,,,,,,,,
18. When was the fever episode?,18a. The first fever episode?,Misc,Text,,,,,,, ,,,,,,,,,,,,,,
18. When was the fever episode?,18b. The last fever episode?,Misc,Text,,,,,,,,,,,,,,,,,,,,,
19a. Frequency of ADLA in a year (Before)?,0-3 months,Misc,Text,,,,,,,,,,,,,,,,,,,,,
19a. Frequency of ADLA in a year (Before)?,3-6 months,Misc,Text,,,,,,,,,,,,,,,,,,,,,
19a. Frequency of ADLA in a year (Before)?,6-9 months,Misc,Text,,,,,,,,,,,,,,,,,,,,,
19b. Frequency of ADLA in a year (After)?,0-3 months,Misc,Text,,,,,,,,,,,,,,,,,,,,,
19b. Frequency of ADLA in a year (After)?,3-6 months,Misc,Text,,,,,,,,,,,,,,,,,,,,,
19b. Frequency of ADLA in a year (After)?,6-9 months,Misc,Text,,,,,,,,,,,,,,,,,,,,,
 ,19. What is the frequency of ADLA in a year ?,Misc,Block,,,,,,"19a. Frequency of ADLA in a year (Before)?,19b. Frequency of ADLA in a year (After)?",,,,,,,,,,,,,,,
,20. According to you what is the cause of swelling?,Misc,Coded,,,,,,,"A) From birth,B) After surgery / accident,C) Mosquito bite,D) After attaining puberty,E) Others",,,,,,,,,,,,,,
,21. Any treatments taken earlier?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,
,22. Any history of disease in the family?,Misc,Boolean,,,,,,, ,,,,,,,,,,,,,,
,23. Has your employment status changed because of the disease?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,
,24. Has your family income changed because of the disease?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,
,25. Do you feel poor hygiene will increase the disease?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,
,26. How do you view your disease?,Misc,Coded,,,,,,,"A) Very problematic,b) Moderately problematic,C) Slightly problematic,D) Not problematic",,,,,,,,,,,,,,
,27. What is your family's attitude towards your disease?,Misc,Coded,,,,,,,"A) Caring,B) Accepting,C) Dismissive,D) Ignoring",,,,,,,,,,,,,,
,28. How often have you visited the clinic per year due to the swelling and infection?,Misc,Coded,,,,,,,"A) Never,B) 1-5 times,C) 5-10 times,D) More then 10 times",,,,,,,,,,,,,,
Primary Consultation,For lymphoedema,Misc,Text,,,,,,,,,,,,,,,,,,,,,
Primary Consultation,For other disease,Misc,Text,,,,,,,,,,,,,,,,,,,,,
Whether they take OTC?,For lymphoedema,Misc,Text,,,,,,,,,,,,,,,,,,,,,
Whether they take OTC?,For other disease,Misc,Text,,,,,,,,,,,,,,,,,,,,,
,Treatment system,Misc,Text,,,,,,,,,,,,,,,,,,,,,
 ,29. Health seeking behaviour of the patient,Misc,Block,,,,,,"Primary Consultation,Whether they take OTC?,Treatment system",,,,,,,,,,,,,,,
,Cause,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,
,Entry Point,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,
,ADLA Care,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,
,Other treatment available,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,
,30. Health Literacy of the patient,Misc,Block,,,,,,"Cause,Entry Point, ADLA Care, Other treatment available",,,,,,,,,,,,,,,
31. Counselor's impression on admission,Notes on admission,Misc,Text,,,,,,,,,,,,,,,,,,,,,
31. Counselor's impression on admission,Counselor's Name,Misc,Text,,,,,,,,,,,,,,,,,,,,,
,1.3 GENERAL INFORMATION ABOUT THE DISEASE,Misc,Block,,,,,,"16. Body parts effected?,17. Since how long you have this swelling,18. When was the fever episode?,19. What is the frequency of ADLA in a year ?,20. According to you what is the cause of swelling?,21. Any treatments taken earlier?,22. Any history of disease in the family?,23. Has your employment status changed because of the disease?,24. Has your family income changed because of the disease?,25. Do you feel poor hygiene will increase the disease?,26. How do you view your disease?,27. What is your family's attitude towards your disease?,28. How often have you visited the clinic per year due to the swelling and infection?,29. Health seeking behaviour of the patient,30. Health Literacy of the patient,31. Counselor's impression on admission",,,,,,,,,,,,,,,
,PART 1: BASELINE DATA,Misc,Block,,,,,,"1.1 DEMOGRAPHIC DETAILS,1.2 ENVIRONMENTAL FACTORS,1.3 GENERAL INFORMATION ABOUT THE DISEASE",,,,,,,,,,,,,,,
Personal Mobility,Sitting or Getting out of a chair,Misc,Coded,,,,,,,"No problem,Mild,Moderate,Severe,Most Severe,NA",,,,,,,,,,,,,,
Personal Mobility,Sitting or Getting up from floor,Misc,Coded,,,,,,,"No problem,Mild,Moderate,Severe,Most Severe,NA",,,,,,,,,,,,,,
Personal Mobility,Standing for a long time,Misc,Coded,,,,,,,"No problem,Mild,Moderate,Severe,Most Severe,NA",,,,,,,,,,,,,,
Personal Mobility,Lying down on cot,Misc,Coded,,,,,,,"No problem,Mild,Moderate,Severe,Most Severe,NA",,,,,,,,,,,,,,
Personal Mobility,Climbing stairs,Misc,Coded,,,,,,,"No problem,Mild,Moderate,Severe,Most Severe,NA",,,,,,,,,,,,,,
Personal Mobility,Wearing footwear,Misc,Coded,,,,,,,"No problem,Mild,Moderate,Severe,Most Severe,NA",,,,,,,,,,,,,,
Personal Mobility,Walking long distances,Misc,Coded,,,,,,,"No problem,Mild,Moderate,Severe,Most Severe,NA",,,,,,,,,,,,,,
Personal Mobility,Travel by public transportation,Misc,Coded,,,,,,,"No problem,Mild,Moderate,Severe,Most Severe,NA",,,,,,,,,,,,,,
Self Care,Dressing myself,Misc,Coded,,,,,,,"No problem,Mild,Moderate,Severe,Most Severe,NA",,,,,,,,,,,,,,
Self Care,Bathing,Misc,Coded,,,,,,,"No problem,Mild,Moderate,Severe,Most Severe,NA",,,,,,,,,,,,,,
Self Care,Washing clothes by myself,Misc,Coded,,,,,,,"No problem,Mild,Moderate,Severe,Most Severe,NA",,,,,,,,,,,,,,
Self Care,Difficulty in using Indian toilet,Misc,Coded,,,,,,,"No problem,Mild,Moderate,Severe,Most Severe,NA",,,,,,,,,,,,,,
Self Care,Difficulty in using Western toilet,Misc,Coded,,,,,,,"No problem,Mild,Moderate,Severe,Most Severe,NA",,,,,,,,,,,,,,
Usual activities,Problems in cooking,Misc,Coded,,,,,,,"No problem,Mild,Moderate,Severe,Most Severe,NA",,,,,,,,,,,,,,
Usual activities,Difficulty in cleaning floors,Misc,Coded,,,,,,,"No problem,Mild,Moderate,Severe,Most Severe,NA",,,,,,,,,,,,,,
Usual activities,Difficulty in gardening,Misc,Coded,,,,,,,"No problem,Mild,Moderate,Severe,Most Severe,NA",,,,,,,,,,,,,,
Usual activities,Difficulty in agrarian work,Misc,Coded,,,,,,,"No problem,Mild,Moderate,Severe,Most Severe,NA",,,,,,,,,,,,,,
Usual activities,Difficulty in continuing normal leisure activities,Misc,Coded,,,,,,,"No problem,Mild,Moderate,Severe,Most Severe,NA",,,,,,,,,,,,,,
Usual activities,Difficulty in continuing the job,Misc,Coded,,,,,,,"No problem,Mild,Moderate,Severe,Most Severe,NA",,,,,,,,,,,,,,
Usual activities,Difficulty in continuing the education,Misc,Coded,,,,,,,"No problem,Mild,Moderate,Severe,Most Severe,NA",,,,,,,,,,,,,,
Disease Burden,"History of painful redness, swelling and cellulitie of leg(filarial fever)",Misc,Coded,,,,,,,"No problem,Mild,Moderate,Severe,Most Severe,NA",,,,,,,,,,,,,,
Disease Burden,Foul smell (Odour),Misc,Coded,,,,,,,"No problem,Mild,Moderate,Severe,Most Severe,NA",,,,,,,,,,,,,,
Disease Burden,Itching (Eczema/Discharge from limb),Misc,Coded,,,,,,,"No problem,Mild,Moderate,Severe,Most Severe,NA",,,,,,,,,,,,,,
Disease Burden,Wound (Non-healing ulcer),Misc,Coded,,,,,,,"No problem,Mild,Moderate,Severe,Most Severe,NA",,,,,,,,,,,,,,
Disease Burden,Weight / size of limb,Misc,Coded,,,,,,,"No problem,Mild,Moderate,Severe,Most Severe,NA",,,,,,,,,,,,,,
Pain/Discomfort,Pain increases at night,Misc,Coded,,,,,,,"No problem,Mild,Moderate,Severe,Most Severe,NA",,,,,,,,,,,,,,
Pain/Discomfort,Pain increases during the day,Misc,Coded,,,,,,,"No problem,Mild,Moderate,Severe,Most Severe,NA",,,,,,,,,,,,,,
Pain/Discomfort,Pain increases while walking,Misc,Coded,,,,,,,"No problem,Mild,Moderate,Severe,Most Severe,NA",,,,,,,,,,,,,,
Pain/Discomfort,Pain increases while sitting,Misc,Coded,,,,,,,"No problem,Mild,Moderate,Severe,Most Severe,NA",,,,,,,,,,,,,,
Pain/Discomfort,Pain in the joints,Misc,Coded,,,,,,,"No problem,Mild,Moderate,Severe,Most Severe,NA",,,,,,,,,,,,,,
Pain/Discomfort,Pain in the unaffected part of body,Misc,Coded,,,,,,,"No problem,Mild,Moderate,Severe,Most Severe,NA",,,,,,,,,,,,,,
Pain/Discomfort,Painful ulcers,Misc,Coded,,,,,,,"No problem,Mild,Moderate,Severe,Most Severe,NA",,,,,,,,,,,,,,
Psychological Health,Experience sense of failure?,Misc,Coded,,,,,,,"No problem,Mild,Moderate,Severe,Most Severe,NA",,,,,,,,,,,,,,
Psychological Health,Fear something bad might happen to you?,Misc,Coded,,,,,,,"No problem,Mild,Moderate,Severe,Most Severe,NA",,,,,,,,,,,,,,
Psychological Health,Discouraged / tensed about the future?,Misc,Coded,,,,,,,"No problem,Mild,Moderate,Severe,Most Severe,NA",,,,,,,,,,,,,,
Psychological Health,Feeling neglected by friends and family members?,Misc,Coded,,,,,,,"No problem,Mild,Moderate,Severe,Most Severe,NA",,,,,,,,,,,,,,
Psychological Health,Feeling lonely?,Misc,Coded,,,,,,,"No problem,Mild,Moderate,Severe,Most Severe,NA",,,,,,,,,,,,,,
Psychological Health,Feeling tensed about your disease?,Misc,Coded,,,,,,,"No problem,Mild,Moderate,Severe,Most Severe,NA",,,,,,,,,,,,,,
Psychological Health,Find it difficult in concentration & memory?,Misc,Coded,,,,,,,"No problem,Mild,Moderate,Severe,Most Severe,NA",,,,,,,,,,,,,,
Social participation,Has your lifestyle changed after getting  the disease?,Misc,Coded,,,,,,,"No problem,Mild,Moderate,Severe,Most Severe,NA",,,,,,,,,,,,,,
Social participation,Do you have problem in moving around freely without feeling self-conscious?,Misc,Coded,,,,,,,"No problem,Mild,Moderate,Severe,Most Severe,NA",,,,,,,,,,,,,,
Social participation,Do you have problem in approaching people in the community?,Misc,Coded,,,,,,,"No problem,Mild,Moderate,Severe,Most Severe,NA",,,,,,,,,,,,,,
Social participation,Do you have problem joining in social activities/get together?,Misc,Coded,,,,,,,"No problem,Mild,Moderate,Severe,Most Severe,NA",,,,,,,,,,,,,,
Social participation,How much problem you have faced because of ill health?,Misc,Coded,,,,,,,"No problem,Mild,Moderate,Severe,Most Severe,NA",,,,,,,,,,,,,,
,Domain of Indian Lifestyle,Misc,Block,,,,,,"Personal Mobility,Self Care,Usual activities,Disease Burden,Pain/Discomfort,Psychological Health,Social participation",,,,,,,,,,,,,,,
,How do you rate your overall health in the past 30 days?,Misc,Block,,,,,,Domain of Indian Lifestyle,,,,,,,,,,,,,,,
,Part 2. Lymphatic Filariasis Specific Quality of Life Questionnaire (LFSQQ),Misc,Block,,,,,,How do you rate your overall health in the past 30 days?,,,,,,,,,,,,,,,
,Complaint Episode,Misc,Coded,,,,,,,"Recent inflammatory episode - Right,Recent inflammatory episode - Left,Using injection/Consuming antibiotics for prevention of fever attacks,Genital organs affected,Surgery for hydrocele,Sudden increase in limb size - Right,Sudden increase in limb size - Left,Discharge from the limb/ulcer/eczema - Right,Discharge from the limb/ulcer/eczema - Left,Local lymphadenopathy - Right,Local lymphadenopathy - Left,Presence of odor - Right,Presence of odor - Left,Presence of fibrous nodules - Right,Presence of fibrous nodules - Left",,,,,,,,,,,,,,
,Non-Coded Complaint,Misc,Text,,,,,,,,,,,,,,,,,,,,,
,Frequency/Duration,Duration,Numeric,,,,,,,,,,,,,,,,,,,,,
,Complaint Information,Concept Details,,,,,,,,,,Complaint Episode,Non-Coded Complaint,Frequency/Duration,,,,,,,,,,
,How the odema was developed,Misc,Text,,,,,,,,,,,,,,,,,,,,,
,Clinical assessment of aetiology,Misc,Text,,,,,,,,,,,,,,,,,,,,,
,Family History (pedigree chart),Misc,Text,,,,,,,,,,,,,,,,,,,,,
Medical History,Mode of treatment,Misc,Coded,,,,,,,"Modern medicine,Homoeopathy,Folklore medicine,Ayurveda,Unani,Any other(specify)",,,,,,,,,,,,,,
Medical History,Medication name,Misc,Text,,,,,,,,,,,,,,,,,,,,,
Medical History,Duration,Concept Details,,,,,,,,,,Mode of treatment,Non-Coded Chief Complaint,Chief Complaint Duration,,,,,,,,,,
Medical History,Treatment outcome,Misc,Coded,,,,,,,"Improved,Aggravated,No change,Cured,Caused cellulitis",,,,,,,,,,,,,,
,3.1 History of present illness,Misc,Block,,,,,,"Complaint Information,How the odema was developed,Clinical assessment of aetiology,Family History (pedigree chart),Medical History",,,,,,,,,,,,,,,
