Parent,name,class,datatype,units,High Normal,Low Normal,Allow Decimal,locale,Block,synonym.1,answer,shortname,child.1,child.2,child.3,child.4,child.5,child.6,child.7,child.8,child.9,child.10,reference-term-source.1,reference-term-code.1,reference-term-relationship.1,reference-term-source.2,reference-term-code.2,reference-term-relationship.2,reference-term-source.3,reference-term-code.3,reference-term-relationship.3,reference-term-source.4,reference-term-code.4,reference-term-relationship.4,reference-term-source.5,reference-term-code.5,reference-term-relationship.5,reference-term-source.6,reference-term-code.6,reference-term-relationship.6
,Past treatment details item,Misc,Block,,,,,,"Year of treatment,Name and address of institution,Nature of treatment,Success Rate,Drugs and Dosage,Any other relevant information",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Baseline Treatment Details (Past medical history),Misc,Block,,,,,,Past treatment details item,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,For Filariasis,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,For other complaints,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,History of previous Surgery,Misc,Block,,,,,,,"For Filariasis,For other complaints",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other complaint(s),Misc,Coded,,,,,,,,"Diabetes,Hypertension,Cardiac Disease,Liver Disease,Renal Problem,Orthopaedic,Others",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Engorged Veins,Diagnosis,Boolean,,,,,, ,history of varicose veins,,,,,,,,,,,,,CIEL,156666,SAME-AS,SNOMED,161509009,SAME-AS,,,,,,,,,,,,
,Lower Limbs affected,anatomy,Coded,,,,,, ,LOWER EXTREMITIES,"Right-Limb,Left-Limb,Both limbs",,,,,,,,,,,,CIEL,1236,SAME-AS,SNOMED,61685007,SAME-AS,AMPATH,1236,SAME-AS,,,,,,,,,
,Upper Limbs affected,anatomy,Coded,,,,,, ,UPPER EXTREMITIES,"Right-Limb,Left-Limb,Both limbs",,,,,,,,,,,,CIEL,1237,SAME-AS,SNOMED,53120007,SAME-AS,AMPATH,1237,SAME-AS,,,,,,,,,
,Size of Limb,Misc,Coded,,,,,,,,"Small,Medium,Huge",,,,,,,,,,,,,3075,,,,,,,,,,,,,,,,
,Any other relevant complaints,Misc,Block,,,,,,"Other complaint(s),Engorged Veins,Lower Limbs affected,Upper Limbs affected,Size of Limb",,caries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ulcer,Diagnosis,Boolean,,,,,,,,,,,,,,,,,,,,,3077,,,,,,,,,,,,,,,,
,Folliculitis,Diagnosis,Boolean,,,,,,,Superficial Folliculitis,,,,,,,,,,,,,CIEL,125501,SAME-AS,SNOMED,267812007,SAME-AS,,,,,,,,,,,,
,Excoriations,Diagnosis,Boolean,,,,,,,Excoriation of Skin,,,,,,,,,,,,,CIEL,140930,SAME-AS,SNOMED,247444006,SAME-AS,,,,,,,,,,,,
,Eczema,Diagnosis,Boolean,,,,,,,,,,,,,,,,,,,,CIEL,120,SAME-AS,SNOMED,43116000,SAME-AS,AMPATH,663,SAME-AS,ICD-10-WHO,L20.0,SAME_AS,,,,,,
,Paronychia,Diagnosis,Boolean,,,,,,,,,,,,,,,,,,,,CIEL,130794,SAME-AS,SNOMED,71906005,SAME-AS,,,,,,,,,,,,
,Fissures/cracks in feet,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Intertrigo - Interdigital,Diagnosis,Boolean,,,,,,,,,,,,,,,,,,,,CIEL,136713,SAME-AS,SNOMED,58759008,SAME-AS,ICD-10-WHO,L30.4,SAME-AS,,,,,,,,,
,Intertrigo - Interdigital: (Intertrigo),Diagnosis,Boolean,,,,,,,,,,,,,,,,,,,,,28300,,,,,,,,,,,,,,,,
,Intertrigo - Interdigital: (Intertrigo),Diagnosis,Boolean,,,,,,,,,,,,,,,,,,,,,28300,,,,,,,,,,,,,,,,
,Intertrigo - Interdigital: (Intertrigo),Diagnosis,Boolean,,,,,,,,,,,,,,,,,,,,,28300,,,,,,,,,,,,,,,,
,Intertrigo - Interdigital: (Intertrigo),Diagnosis,Boolean,,,,,,,,,,,,,,,,,,,,,28300,,,,,,,,,,,,,,,,
,Intertrigo - Interdigital: (Intertrigo),Diagnosis,Boolean,,,,,,,,,,,,,,,,,,,,,28300,,,,,,,,,,,,,,,,
,Keratoderma,Diagnosis,Boolean,,,,,,,,,,,,,,,,,,,,CIEL,117447,SAME-AS,SNOMED,396228006,SAME-AS,ICD-10-WHO,L85.9,SAME-AS,CIEL,117448,NARROWER-THAN,,,,,,
,Thickening of skin,Diagnosis,Boolean,,,,,,,,,,,,,,,,,,,,CIEL,112438,SAME-AS,SNOMED,17417006,SAME-AS,ICD-10-WHO,R23.4,NARROWER-THAN,,,,,,,,,
,Warty growth,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nodules presence,Misc,Boolean,,,,,,,Skin nodule,,,,,,,,,,,,,CIEL,126395,SAME-AS,SNOMED,95319004,SAME-AS,,,,,,,,,,,,
,Scars,Misc,Boolean,,,,,,,Painful Scar,,,,,,,,,,,,,CIEL,127146,SAME-AS,SNOMED,70582006,SAME-AS,SNOMED NP,275322007,NARROWER-THAN,SNOMED NP,301364008,NARROWER-THAN,,,,,,
,Erythema,Diagnosis,Boolean,,,,,,,Erythematous Condition,,,,,,,,,,,,,CIEL,118526,SAME-AS,SNOMED,86735004,SAME-AS,ICD-10-WHO,L53.9,NARROWER-THAN,,,,,,,,,
,Temperature (warmth) on area of the redness,Diagnosis,Boolean,,,,,,,Body Temperature Above Normal,,,,,,,,,,,,,CIEL,147094,SAME-AS,SNOMED,50177009,SAME-AS,,,,,,,,,,,,
,Tenderness on erythema,Diagnosis,Boolean,,,,,,,Erythema Multiforme,,,,,,,,,,,,,CIEL,141053,SAME-AS,SNOMED,36715001,SAME-AS,ICD-10-WHO, L51.9,SAME-AS,,,,,,,,,
,Clinical evidence of cellulitis,Diagnosis,Boolean,,,,,,,Cellulitis of Leg,,,,,,,,,,,,,CIEL,145998,SAME-AS,SNOMED,238402004,SAME-AS,,,,,,,,,,,,
,Warmth on limb Sites,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Colour of the skin,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Growth of hair,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Right Dermatological Examination,Misc,Block,,,,,,"Ulcers,Folliculitis,Excoriations,Eczema,Paronychia,Fissures/cracks in feet,Intertrigo - Interdigital:,Intertrigo - First:,Intertrigo - Second:,Intertrigo - Third:,Intertrigo - Fourth:,Intertrigo - Between folds:,Keratoderma,Thickening of skin,Warty growth,Nodules presence,Scars,Erythema,Temperature on area of the redness,Tenderness on erythema,Clinical evidence of cellulitis,Warmth on limb Sites,Colour of the skin,Growth of hair",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Left Dermatological Examination,Misc,Block,,,,,,"Ulcers,Folliculitis,Excoriations,Eczema,Paronychia,Fissures/cracks in feet,Intertrigo - Interdigital:,Intertrigo - First:,Intertrigo - Second:,Intertrigo - Third:,Intertrigo - Fourth:,Intertrigo - Between folds:,Keratoderma,Thickening of skin,Warty growth,Nodules presence,Scars,Erythema,Temperature on area of the redness,Tenderness on erythema,Clinical evidence of cellulitis,Warmth on limb Sites,Colour of the skin,Growth of hair",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,General Dermatological Entry Points Table,Misc,Block,,,,,,"Right Dermatological Examination,Left Dermatological Examination",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Caries teeth,Diagnosis,Boolean,,,,,,,Dental Caries Limited to Enamel,,,,,,,,,,,,,CIEL,118659,SAME-AS,SNOMED,80353004,SAME-AS,ICD-10-Who,K02.8,NARROWER-THAN,,,,,,,,,
,Any Other skin issue (lesion),Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,General Dermatological Exam,Misc,Block,,,,,,"General Dermatological Entry Points Table,Caries teeth,Any Other skin issue",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fibrous Nodules,Diagnosis,Coded,,,,,,,Skin Nodule,"Absent,Few,Multiple,Plenty",,,,,,,,,,,,CIEL,126395,SAME-AS,SNOMED,95319004,SAME-AS,,,,,,,,,,,,
,Did patient notice presence of entry points ?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,When he/she got the fever?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Current treatment for other complaints,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Assessment of socio-economic status,question,Text,,,,,,,Socioeconomic status comment,,,,,,,,,,,,,CIEL,160138,SAME-AS,SNOMED NP,365523001,NARROWER-THAN,,,,,,,,,,,,
,What are the emotional supports needed?,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grading,What are major queries of the patient?,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grading,Does the patient require any special services?,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grading,Any deviations from the regular service?,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grading,Did patient understand the duration of treatment,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grading,Whether the patient is educated regarding the entry points,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ask the patient to list the entry points,Known Entry Point (Entry Point),Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whether the patient is ready to:,1. Care and treatment of entry points,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whether the patient is ready to:,2. Perform Yoga life long? (always),Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whether the patient is ready to:,3. Perform IMLD life long?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whether the patient is ready to:,4. Use compression life long?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whether the patient is ready to:,5. Follow diet restrictions for first six months?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whether the patient understood the cost of therapy:,1. During the training period,ConvSet,Boolean,,,,,,,Fee Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whether the patient understood the cost of therapy:,2. For six months after the initial training,ConvSet,Boolean,,,,,,,Fee Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whether the patient understood the cost of therapy:,3. Monthly thereafter?,Frequency,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whether the patient understood the cost of therapy:,4. For follow up charges,ConvSet,Boolean,,,,,,,Fee Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Counselor's Impression:,"Notes after discussion with doctor, patient and patient's family members",question,Text,,,,,,,Clinician notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Any other Information,"Details of information given, sought discussed",Misc,Text,,,,,,,Other notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Name of the counselor,question,Text,,,,,,,NAME OF HEALTH CARE PROVIDER,,,,,,,,,,,,,,4239,,,,,,,,,,,,,,,,
,Name of the patient,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Counselor's Observations,Misc,Block,,,,,,"Grading,Ask the patient to list the entry points,Whether the patient is ready to:,Whether the patient understood the cost of therapy:,Counselor's Impression:,Any other Information,Name of the counselor,Name of the patient",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Annexure 1: Baseline counseling for Lymphodema,Misc_order,Block,,,,,,"Baseline Past History,Baseline Treatment History,Baseline Treatment Details,History of previous Surgery,Any other relevant complaints,General Dermatological Exam,Fibrous Nodules,Did patient notice presence of entry points ?,When he/she got the fever?,Current treatment for other complaints,Assessment of socio-economic status,What are the emotional supports needed?,Counselor's Observations",,,,,,,,,,,,,,,4153,,,,,,,,,,,,,,,,
1.1 DEMOGRAPHIC DETAILS,1. Marital status,Misc,Coded,,,,,,,,"Unmarried,Married,Widow,Seperated due to disease",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.1 DEMOGRAPHIC DETAILS,2. Living with,Misc,Coded,,,,,,,"Chronic OPD Details, Lives With","Alone,Spouse,Son,Daughter,Relative,Parents,Other",,,,,,,,,,,,,2704,,,,,,,,,,,,,,,,
1.1 DEMOGRAPHIC DETAILS,3. Employment status (work),Misc,Coded,,,,,,,"Chronic OPD Details, Work","Unemployed,Part time,Full time employed,House Making,Not working due to illness,Other",,,,,,,,,,,,,2705,,,,,,,,,,,,,,,,
1.1 DEMOGRAPHIC DETAILS,4. What type of ration card is provided to you?,Misc,Coded,,,,,,,,"APL,BPL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.1 DEMOGRAPHIC DETAILS,5. Family annual income,Misc,Coded,,,,,,,,"Rs. 25000-200000,Rs. 200000-500000,Rs. 500000-1000000,Above 10 lakhs",,,,,,,,,,,,,1175,,,,,,,,,,,,,,,,
1.1 DEMOGRAPHIC DETAILS,6. Total family members,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.2 ENVIRONMENTAL FACTORS,7. Where were you living before one year when swelling developed?,Misc,Coded,,,,,,,,"Coastal Area,Hilly Area,Others",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.2 ENVIRONMENTAL FACTORS,8. Is there any stagnant water in your surroundings?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.2 ENVIRONMENTAL FACTORS,9. Is there any back water in your surroundings,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.2 ENVIRONMENTAL FACTORS,10. Do you have proper drainage facility in your house & surroundings,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.2 ENVIRONMENTAL FACTORS,11. Do you use common toilet which is not maintained properly?,question,Boolean,,,,,,,Toilet/latrine shared with other household(s),,,,,,,,,,,,,CIEL,160258,SAME-AS,SNOMED NP,302160007,NARROWER-THAN,,,,,,,,,,,,
1.2 ENVIRONMENTAL FACTORS,12. Industrialization around your house?,Misc,Boolean,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.2 ENVIRONMENTAL FACTORS,13. Garbage dumped around your house/area?(improper waste disposal),Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.2 ENVIRONMENTAL FACTORS,14. Is your house surrounded by agriculture lans?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.2 ENVIRONMENTAL FACTORS,15. What type of house are you living?,Misc,Coded,,,,,,,,"Independent house,Colony,Slum (area congested),Others",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16. Body parts effected?,Misc,Coded,,,,,,,,"Right Lower limb,Left Lower limb,Bilateral Lower limb,Right Upper limb,Left Upper limb,Bilateral Upper limb,Genital,Whole body,Others",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17. Since how long you have this swelling,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18. When was the fever episode?,18a. The first fever episode?,Misc,Text,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18. When was the fever episode?,18b. The last fever episode?,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19a. Frequency of ADLA in a year (Before)?,0-3 months,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19a. Frequency of ADLA in a year (Before)?,3-6 months,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19a. Frequency of ADLA in a year (Before)?,6-9 months,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19b. Frequency of ADLA in a year (After)?,0-3 months,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19b. Frequency of ADLA in a year (After)?,3-6 months,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19b. Frequency of ADLA in a year (After)?,6-9 months,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,19. What is the frequency of ADLA in a year ?,Misc,Block,,,,,,,"19a. Frequency of ADLA in a year (Before)?,19b. Frequency of ADLA in a year (After)?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20. According to you what is the cause of swelling?,Misc,Coded,,,,,,,,"A) From birth,B) After surgery / accident,C) Mosquito bite,D) After attaining puberty,E) Others",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,21. Any treatments taken earlier?,Misc,Boolean,,,,,,,Past treatment details item,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,22. Any history of disease in the family?,Misc,Boolean,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,23. Has your employment status changed because of the disease?,diagnosis,Boolean,,,,,,,Change of job,,,,,,,,,,,,,CIEL,155493,SAME-AS,SNOMED,276068009,SAME-AS,ICD-10-WHO,Z56.1,SAME-AS,,,,,,,,,
,24. Has your family income changed because of the disease?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25. Do you feel poor hygiene will increase the disease?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,26. How do you view your disease?,Misc,Coded,,,,,,,,"A) Very problematic,b) Moderately problematic,C) Slightly problematic,D) Not problematic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,27. What is your family's attitude towards your disease?,Misc,Coded,,,,,,,,"A) Caring,B) Accepting,C) Dismissive,D) Ignoring",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,28. How often have you visited the clinic per year due to the swelling and infection?,Misc,Coded,,,,,,,NUMBER OF VISITS TO A HEALTH POST/CLINIC FOR ILLNESS/CONDITION,"A) Never,B) 1-5 times,C) 5-10 times,D) More then 10 times",,,,,,,,,,,,CIEL,1762,SAME-AS,SNOMED,1.76E+13,SAME-AS,,,,,,,,,,,,
Primary Consultation,For lymphoedema,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primary Consultation,For other disease,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whether they take OTC?,For lymphoedema,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whether they take OTC?,For other disease,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Treatment system,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,29. Health seeking behaviour of the patient,Misc,Block,,,,,,"Primary Consultation,Whether they take OTC?,Treatment system",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cause,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Entry Point,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ADLA Care,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other treatment available,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30. Health Literacy of the patient,Misc,Block,,,,,,"Cause,Entry Point, ADLA Care, Other treatment available",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31. Counselor's impression on admission,Notes on admission(Clinician notes),Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31. Counselor's impression on admission,Counselor's Name,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.3 GENERAL INFORMATION ABOUT THE DISEASE,Misc,Block,,,,,,"16. Body parts effected?,17. Since how long you have this swelling,18. When was the fever episode?,19. What is the frequency of ADLA in a year ?,20. According to you what is the cause of swelling?,21. Any treatments taken earlier?,22. Any history of disease in the family?,23. Has your employment status changed because of the disease?,24. Has your family income changed because of the disease?,25. Do you feel poor hygiene will increase the disease?,26. How do you view your disease?,27. What is your family's attitude towards your disease?,28. How often have you visited the clinic per year due to the swelling and infection?,29. Health seeking behaviour of the patient,30. Health Literacy of the patient,31. Counselor's impression on admission",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
